grant_title,id,organization,start_year,total_amount,group,Grant start date,start_month,start_day
New Mexico Business Roundtable,1,Afghanistan,2009,24.4483,low,2/4/2010,2,4
LA NSC Match,2,Afghanistan,2010,26.5382,low,8/3/2009,8,3
Mathematics Assessment for Learning Phase One RFP,3,Afghanistan,2011,25.314,low,11/12/2009,11,12
Convening of Stakeholder Planning Committee for the Institute for Local Innovation in Teaching and Learning,4,Albania,2009,6.5853,low,3/11/2010,3,11
Conference Support,5,Albania,2010,6.8977,low,10/12/2009,10,12
Conference Support Grant on differentiated compensation symposium,6,Albania,2011,6.435,low,6/30/2009,6,30
Conference Support On School Turnaround Issues,7,Algeria,2009,165.2191,low,9/24/2009,9,24
City Based Proposal for What Works Fund - Aspire Public Schools,8,Algeria,2010,166.7126,low,10/29/2009,10,29
Formative Assessment Task Development and Validation (Supplemental to OPP53449),9,Algeria,2011,172.516,low,11/16/2009,11,16
City Based Proposal for What Works Fund - E3 Alliance,10,Angola,2009,252.3366,low,10/28/2009,10,28
Light touch communications grant for EET district partner (Hillsborough),11,Angola,2010,262.3005,low,11/2/2009,11,2
Light touch communications grant for EET district partner (LA CMOs),12,Angola,2011,263.4348,low,11/2/2009,11,2
Light touch communications grant for EET district partner (Memphis),13,Antigua & Barbuda,2009,1.0074,low,11/2/2009,11,2
Light touch communications grant for EET district partners (Pittsburgh),14,Antigua & Barbuda,2010,1.0505,low,11/2/2009,11,2
City Based Proposal for What Works Fund - GHCF,15,Antigua & Barbuda,2011,1.2977,low,10/28/2009,10,28
City Based Proposal for What Works Fund - New Visions for Public Schools,16,Argentina,2009,418.7746,low,11/10/2009,11,10
City Based Proposal for What Works Fund - Philadelphia Public Schools,17,Argentina,2010,426.0262,low,11/13/2009,11,13
Mathematics Assessment for Learning Phase One RFP,18,Argentina,2011,434.6935,low,11/1/2009,11,1
City Based Proposal for What Works Fund – Internationals Network (with NCLR),19,Armenia,2009,7.9742,low,3/24/2010,3,24
City Based Proposal for What Works Fund - Minneapolis Public Schools,20,Armenia,2010,7.8514,low,10/29/2009,10,29
City Based Proposal for What Works Fund - PTE,21,Armenia,2011,8.2721,low,11/4/2009,11,4
TPERF Statewide Education Summit and Legislative Briefing,22,Australia,2009,599.0315,low,10/1/2008,10,1
City Based Proposal for What Works Fund - NYC Charter Center,23,Australia,2010,592.4785,low,10/30/2009,10,30
"Supporting the development of a cross-sector plan that represent new levels of collaboration between one or more districts and the SEED School, a leading CMO in Washington, DC and Baltimore",24,Australia,2011,595.2969,low,1/28/2010,1,28
City based proposal for What Works Fund - City of New Haven,25,Austria,2009,84.0492,low,11/17/2009,11,17
"Achievement Gap Institute: Annual Research-to-Practice Conference, How Teachers Improve",26,Austria,2010,89.7307,low,5/13/2009,5,13
National Education Forum,27,Austria,2011,88.3732,low,3/1/2008,3,1
Community Engagement Supporting College and Career Readiness,28,Azerbaijan,2009,56.8718,low,10/1/2009,10,1
Building & Sustaining Support for Good Schools: A Public Information Campaign,29,Azerbaijan,2010,58.5329,medium,4/30/2010,4,30
City Based Proposal for What Works Fund – Council of Great City Schools,30,Azerbaijan,2011,64.7208,medium,3/18/2010,3,18
City based proposal for What Works Fund - New Schools for New Orleans,31,"Bahamas, The",2009,1.9034,medium,11/4/2009,11,4
EEP Equality Day Rally Support,32,"Bahamas, The",2010,2.7347,medium,6/19/2009,6,19
Stimulus Tracker,33,"Bahamas, The",2011,5.0133,medium,7/22/2009,7,22
Repurpose of Alliance for Education Funds to a Variety of Essential Organizational Functions and Programs,34,Bahrain,2009,27.0751,medium,2/26/2010,2,26
Secondary STEM Data and Standards Analysis,35,Bahrain,2010,27.9484,medium,7/28/2009,7,28
Mathematics Assessment for Learning Phase One RFP,36,Bahrain,2011,27.0429,medium,11/9/2009,11,9
Ethnic Commission Education Reform Project,37,Bangladesh,2009,153.3486,medium,11/20/2009,11,20
Mathematics Assessment for Learning Phase One RFP,38,Bangladesh,2010,157.8669,medium,11/6/2009,11,6
California Collaborative on District Reform Phase 2,39,Bangladesh,2011,160.115,medium,3/1/2008,3,1
Professional Educator Standards Board,40,Barbados,2009,3.658,medium,10/9/2009,10,9
Evaluate the Leaky College Pipeline in New York City,41,Barbados,2010,3.5481,medium,10/27/2009,10,27
Advocacy for Sustained School Reform in the Nation's Capital,42,Barbados,2011,3.4972,medium,7/1/2008,7,1
DC Expansion and CA STEM partnership,43,Belarus,2009,107.1238,medium,8/29/2009,8,29
Retaining Teacher Talent: What Matters for Gen-Y Teachers,44,Belarus,2010,110.5189,medium,3/2/2009,3,2
Supplemental Support for the New York STEM Progressive Dialogues (original grant on OPP52284),45,Belarus,2011,111.4963,medium,9/29/2009,9,29
Teacher Demographics and Pension Policies,46,Belgium,2009,122.43,medium,1/1/2009,1,1
Charter School Initiative,47,Belgium,2010,129.1643,medium,2/25/2010,2,25
High School Standards Review project,48,Belgium,2011,129.9276,medium,10/1/2008,10,1
Progressive Dialogues (Supplemental grant on OPP1008819),49,Belize,2009,13.747,medium,12/1/2008,12,1
Support access to ARRA funds for strong CMOs,50,Belize,2010,13.9414,medium,9/10/2009,9,10
Aspen-NewSchools Fellows,51,Belize,2011,14.2332,medium,3/26/2009,3,26
Texas Charter Schools Association,52,Benin,2009,27.4052,medium,5/18/2009,5,18
to support the work of a teacher evaluation task force,53,Benin,2010,27.9443,medium,6/23/2009,6,23
Ensuring a Valid and Useable Teacher Student Link,54,Benin,2011,27.5198,medium,11/21/2009,11,21
Consistent College-Ready Standards,55,Bhutan,2009,-7.5077,medium,10/1/2008,10,1
DCPS Measures of Teacher Effectiveness Study,56,Bhutan,2010,-7.4517,medium,11/10/2009,11,10
Creating a Stronger Philanthropic Sector in Education,57,Bhutan,2011,-7.5757,medium,11/6/2009,11,6
Envision Schools Post-Secondary Tracking,58,Bolivia,2009,147.7118,medium,6/1/2008,6,1
Global Education Leaders' Program (GELP),59,Bolivia,2010,149.3575,medium,11/10/2009,11,10
Investigation of the Relationship between Teacher Quality and Student Learning Outcomes,60,Bolivia,2011,149.7116,medium,10/1/2008,10,1
Teacher-Student Data Link Project - Arkansas,61,Bosnia & Herzegovina,2009,27.1385,medium,11/19/2009,11,19
Teacher-Student Data Link Project - Florida,62,Bosnia & Herzegovina,2010,27.3532,medium,11/19/2009,11,19
Teacher-Student Data Link Project - Georgia,63,Bosnia & Herzegovina,2011,29.66,medium,11/19/2009,11,19
Teacher-Student Data Link Project - Louisiana,64,Botswana,2009,19.0307,medium,11/19/2009,11,19
Teacher-Student Data Link Project - Ohio,65,Botswana,2010,20.1171,medium,11/19/2009,11,19
The California STEM Innovation Network,66,Botswana,2011,19.8567,medium,1/8/2009,1,8
TN SCORE state advocacy coalition,67,Brazil,2009,1400.1118,medium,2/19/2010,2,19
Bring Your 'A' Game,68,Brazil,2010,1392.6399,medium,5/1/2008,5,1
